"series",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",387.1,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5
"Texas",408.6,408.6,410.3,406.7,412.7,433.8,437.8,412.9,421.8,446.5
